Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7
12,46,72,53,8,51,63
30,42,40,10,19,63,5
73,7,34,75,71,4,66
57,47,70,30,22,78,38
40,54,74,7,75,52,49
65,69,5,66,14,80,20
27,47,71,80,39,2,29
7,38,2,78,41,10,50
56,42,27,29,61,20,70
76,18,26,31,80,55,54
80,56,67,50,2,71,74
43,41,47,11,32,80,22
19,24,39,71,72,62,74
44,34,50,11,39,49,28
65,39,67,29,73,61,11
67,51,1,31,22,14,38
38,71,43,74,37,52,32
13,79,44,33,72,20,22
49,3,71,75,65,38,35
59,19,65,24,45,7,42
66,80,38,69,74,68,51
52,23,40,71,53,10,26
50,40,57,30,79,25,15
18,62,79,1,78,27,2
32,31,28,17,2,68,63
37,18,70,50,31,47,71
16,41,3,5,60,75,28
38,74,5,13,44,63,46
67,8,47,71,73,15,19
4,24,61,9,29,45,37
24,2,18,44,13,28,3
53,58,75,6,72,27,39
20,40,65,35,56,14,58
48,43,20,37,68,4,52
79,66,26,53,42,34,77
38,4,50,70,64,29,14
29,53,1,55,52,34,18
51,53,17,74,68,77,78
72,51,15,77,11,62,61
72,5,42,43,1,17,20
2,67,66,20,26,41,24
38,35,26,46,52,8,69
20,3,34,62,12,49,23
49,77,62,14,79,74,17
46,27,73,70,28,26,64
40,46,9,45,74,35,68
49,80,29,18,37,58,78
60,50,5,79,4,49,25
24,45,76,16,8,50,55
31,41,36,57,35,69,25
49,37,68,31,62,20,21
75,64,72,7,5,19,40
6,67,47,79,69,12,8
17,37,2,70,71,74,79
56,27,53,79,57,49,17
71,23,49,58,2,35,63
19,50,74,45,78,49,68
11,67,4,45,73,80,57
32,62,57,15,23,76,6
22,59,36,40,4,31,12
77,7,65,67,47,31,11
33,48,60,28,6,8,70
78,24,77,22,64,4,66
3,56,10,26,38,1,20
79,72,46,65,59,13,9
27,45,14,69,25,22,20
31,35,65,47,43,57,49
45,46,51,29,9,30,73
5,16,33,29,53,9,76
17,30,2,3,46,5,26
62,25,6,16,44,36,14
24,28,66,4,40,41,34
2,28,23,13,34,10,44
5,51,25,40,72,67,69
70,34,74,6,42,44,26
49,6,25,29,8,16,70
50,42,78,59,7,3,49
54,21,48,41,16,38,18
66,18,69,76,34,55,11
18,28,6,5,38,19,69
64,2,37,43,19,72,11
33,72,13,38,20,53,41
50,66,20,5,76,23,12
71,79,38,3,76,46,34
11,34,36,20,5,21,4
32,79,74,80,72,38,8
73,79,41,11,19,29,1
57,67,50,73,78,4,76
69,52,18,57,15,27,61
51,44,12,74,62,50,35
75,34,61,3,73,46,26
43,68,38,51,3,27,61
23,70,2,43,22,32,46
28,35,19,80,54,49,34
39,62,75,40,80,3,47
30,14,67,48,69,10,16
32,42,25,18,17,63,45
35,6,66,19,1,13,15
59,44,75,28,66,12,37
58,5,68,53,63,49,69
72,44,66,51,55,74,50
32,44,10,73,25,54,16
10,5,36,26,55,52,15
40,67,36,37,59,61,54
67,46,1,60,33,44,52
64,78,40,79,37,41,19
51,5,13,46,67,34,14
70,24,71,68,12,60,74
36,49,12,64,57,45,30
19,25,4,1,62,37,45
62,13,36,58,6,29,43
32,66,40,77,4,49,72
66,41,51,18,5,45,16
35,11,29,38,30,71,12
36,47,40,19,60,73,67
55,34,58,1,19,56,68
40,50,35,38,74,57,36
42,38,53,24,29,17,13
76,7,22,4,28,39,31
45,10,11,48,43,76,9
50,5,32,16,33,40,71
72,78,42,77,24,55,4
63,31,66,28,71,57,13
26,51,28,5,44,23,69
10,34,48,72,15,23,71
33,45,31,8,67,73,41
5,38,46,50,24,9,51
64,66,72,76,38,50,2
61,75,7,53,15,73,22
23,5,55,19,71,57,36
38,52,19,36,10,77,37
76,55,4,35,50,73,40
75,2,56,20,3,66,60
35,44,3,41,28,32,42
18,57,75,71,22,12,69
9,14,1,41,45,34,72
44,61,68,4,21,40,23
36,63,1,7,75,65,40
34,80,5,8,45,29,1
20,27,24,53,80,76,75
80,31,73,8,21,29,39
55,26,6,27,4,36,44
49,30,53,7,37,50,20
51,17,75,5,57,52,11
28,47,37,29,72,11,3
20,48,23,73,74,6,30
45,31,4,61,36,56,28
51,50,4,39,21,16,11
15,22,52,47,72,24,79
41,21,1,16,39,6,23
69,54,2,19,72,56,42
23,45,57,68,36,73,19
,,,,,,
22,27,60,3,74,30,53
70,37,38,69,78,10,30
66,6,14,56,11,36,68
72,23,19,34,58,48,9
20,24,51,49,47,12,64
63,12,48,6,4,39,26
48,55,8,40,39,26,68
56,68,44,53,10,9,70
24,3,29,47,49,1,15
3,65,21,33,37,19,64
12,70,10,14,44,29,41
16,77,55,33,71,12,52
80,57,74,48,8,52,21
65,56,27,28,73,54,80
39,14,25,42,50,61,8
15,52,17,76,72,66,68
46,9,20,18,44,55,35
50,21,44,58,9,31,22
18,48,67,13,68,37,47
3,60,66,41,40,72,51
1,71,41,50,49,33,55
61,57,20,24,40,19,48
72,36,33,43,38,37,6
25,45,30,62,77,10,74
68,56,22,12,41,27,65
51,23,35,74,39,50,52
67,37,60,21,9,71,76
75,74,67,72,68,54,19
26,72,67,5,8,36,4
44,35,48,38,77,51,11
22,27,12,9,58,43,26
15,21,3,79,69,16,7
75,8,62,2,5,3,4
58,69,61,27,12,3,21
50,40,71,11,6,78,38
61,66,67,12,63,76,71
14,65,74,30,33,54,7
43,37,38,69,35,15,66
33,57,5,21,60,32,79
29,79,45,58,1,73,68
44,72,37,48,80,34,8
21,8,78,19,46,17,76
70,77,17,55,53,10,4
72,51,13,65,31,2,28
51,30,52,58,66,13,21
80,71,77,52,10,79,64
41,5,50,66,52,71,39
25,76,67,41,61,53,78
35,26,37,69,60,19,51
24,28,25,40,69,49,72
15,63,69,40,74,14,59
38,74,31,61,51,32,52
27,52,66,57,23,54,71
5,28,23,80,60,72,52
6,75,9,61,38,56,13
70,26,54,53,47,24,19
9,19,34,29,26,33,58
40,30,51,79,48,18,47
34,10,24,29,22,30,36
74,53,65,77,15,58,62
26,54,24,52,18,33,36
58,69,12,63,75,36,44
44,62,24,31,57,11,50
32,65,39,70,5,29,51
7,23,54,75,69,70,29
5,13,48,41,69,49,8
53,35,41,4,48,56,43
52,35,70,8,79,9,7
63,18,68,56,29,5,9
7,65,79,31,56,61,12
36,4,44,16,39,62,1
13,51,37,26,72,2,73
70,10,75,41,51,20,40
13,68,23,19,33,61,10
23,57,67,43,66,37,15
36,50,15,79,22,71,16
80,56,4,12,31,69,61
39,68,72,60,29,71,42
22,38,48,1,34,62,3
73,46,69,56,10,18,35
19,12,70,67,58,47,48
46,37,14,52,42,17,36
15,68,48,38,13,69,40
18,30,55,72,40,6,45
17,77,14,24,60,31,59
80,19,70,43,6,69,74
41,19,77,9,20,67,58
5,80,6,32,9,65,35
65,55,48,21,45,13,31
27,76,34,64,68,7,21
34,39,15,9,43,38,78
26,61,57,60,56,79,62
4,6,32,58,62,5,17
60,61,50,1,7,71,67
31,80,52,26,41,24,50
39,80,69,5,20,34,50
75,56,46,49,79,5,29
7,12,50,65,30,18,80
12,28,63,73,58,80,76
79,66,48,64,74,75,9
66,70,23,8,74,61,50
46,65,30,42,16,73,49
41,11,44,29,77,47,17
14,22,75,32,39,40,35
69,42,30,27,37,66,21
63,41,62,72,31,79,21
45,65,69,50,27,71,1
28,21,73,66,22,70,63
62,76,25,33,74,23,63
32,13,69,67,73,60,21
6,28,16,50,31,20,77
68,62,60,27,32,50,61
43,32,47,16,70,22,35
62,25,71,19,75,2,16
76,79,16,22,44,41,61
13,9,27,42,43,20,44
55,59,47,21,76,66,38
3,79,6,68,46,14,67
76,25,79,48,71,19,32
18,73,38,77,34,60,76
41,76,79,60,19,7,72
56,59,25,58,13,70,27
71,30,58,31,12,64,52
44,47,63,8,4,57,59
62,31,68,1,9,60,26
70,14,60,46,34,17,13
74,13,57,26,36,61,60
17,72,43,70,45,65,7
41,77,18,11,44,49,80
19,77,27,8,46,33,68
68,16,30,37,20,72,66
33,44,76,41,21,18,28
3,67,63,58,48,1,61
14,49,58,51,76,63,66
14,4,30,19,46,72,20
55,11,13,6,3,45,35
48,42,31,67,20,47,29
49,2,29,16,31,3,63
31,65,29,6,5,11,49
52,6,51,1,67,50,48
59,54,8,76,74,58,26
10,57,76,67,32,30,60
62,50,60,5,15,72,57
18,16,61,14,71,79,58
10,13,55,31,33,23,26
33,48,2,44,72,27,78
51,8,42,39,44,18,62
10,56,32,53,9,52,33
9,34,8,51,76,57,53
23,75,48,35,74,61,79
26,9,35,66,77,58,42
70,6,18,20,79,32,40
28,75,27,72,70,17,30
56,11,60,14,1,33,66
60,4,80,78,58,74,28
22,50,36,72,26,68,4
16,80,10,62,65,29,79
51,2,52,31,53,36,35
68,2,45,15,80,20,63
3,47,16,12,33,6,14
80,46,15,43,73,49,68
23,33,3,49,39,67,36
45,42,28,12,75,47,55
60,5,27,20,54,11,19
16,52,35,26,60,10,62
2,20,1,40,46,49,70
70,32,26,29,40,17,11
24,52,46,36,43,77,12
28,21,34,78,72,58,32
25,15,12,64,34,51,23
49,76,73,15,14,31,35
19,41,8,12,73,56,17
58,24,16,41,21,54,48
69,44,66,56,41,58,2
13,39,75,1,73,22,24
7,12,41,30,10,67,70
70,64,39,22,29,42,30
13,39,9,77,70,57,66
5,58,30,79,41,57,9
63,69,66,46,19,39,51
7,10,35,65,21,63,62
73,5,12,21,58,51,54
64,54,9,62,24,12,21
69,36,76,49,21,42,17
62,4,5,22,40,63,6
31,16,74,40,22,2,20
45,33,61,57,63,20,62
59,67,52,29,11,3,49
32,50,42,64,69,52,59
50,2,53,39,45,77,66
24,43,10,55,20,76,29
7,71,20,64,80,65,19
10,80,71,64,36,76,75
21,20,6,1,50,54,49
2,70,49,64,36,80,28
2,9,16,20,45,47,42
80,59,49,18,12,56,35
55,35,21,54,47,58,59
67,8,15,36,41,66,51
59,65,44,43,73,21,51
28,42,44,50,13,77,16
54,65,58,6,20,56,13
7,53,54,64,75,34,73
66,61,65,22,76,6,33
65,35,23,39,12,80,73
2,34,33,38,5,40,44
44,52,70,51,22,38,41
68,1,47,59,69,25,72
37,21,20,74,15,14,41
69,26,25,68,50,42,70
19,14,76,28,64,44,30
28,6,67,9,60,15,31
35,20,64,38,34,65,1
36,1,8,79,30,31,29
4,40,68,61,71,10,21
70,8,43,50,49,31,40
16,11,29,32,67,35,65
61,67,68,38,15,20,66
71,53,69,72,1,43,41
54,66,75,74,18,4,63
37,35,79,62,43,65,33
54,49,14,80,38,11,47
56,9,28,32,59,6,35
1,26,55,32,38,61,27
6,74,55,45,50,13,36
38,64,35,60,73,77,17
53,38,65,80,73,50,7
71,39,64,78,21,55,50
3,71,50,8,70,7,63
70,40,39,21,30,76,41
78,23,70,40,7,51,45
4,8,50,69,7,77,61
5,23,64,53,21,62,59
43,62,65,61,6,51,12
60,55,59,8,15,54,44
37,74,35,75,3,4,60
32,43,53,59,79,52,8
3,49,70,55,5,15,44
15,58,47,49,35,37,46
19,22,51,65,44,56,40
80,12,14,54,30,62,55
80,49,53,38,43,45,33
32,37,57,33,46,41,63
4,54,27,31,17,56,16
14,51,22,78,41,63,25
79,73,61,1,32,39,9
65,7,69,34,29,26,28
27,42,14,47,59,31,66
21,1,24,79,57,15,23
77,60,43,52,62,15,65
39,11,9,61,51,76,72
33,34,45,47,3,63,13
62,44,48,16,56,31,70
80,3,46,32,6,59,12
52,13,1,58,71,55,51
72,7,68,34,39,61,31
1,56,29,58,65,2,74
22,61,76,40,25,66,5
70,15,52,66,29,39,4
76,22,5,35,51,62,2
57,28,9,12,77,55,69
49,58,55,69,31,62,6
48,25,13,52,57,16,68
21,56,58,2,69,28,71
73,63,66,65,69,12,22
75,49,54,64,80,46,68
42,9,39,77,51,14,27
46,48,19,12,6,76,52
16,8,54,51,72,24,79
42,38,71,37,39,69,63
35,62,55,27,74,64,22
43,64,46,19,3,68,38
77,45,25,50,67,3,28
38,25,27,37,75,51,11
31,66,45,34,30,78,40
20,40,21,79,9,43,4
46,5,45,8,18,53,42
76,15,59,70,52,11,30
49,63,55,13,54,57,69
8,4,76,2,75,45,65
72,32,38,17,9,53,45
30,75,42,12,65,4,58
35,19,56,75,52,15,11
17,2,32,30,37,61,6
27,34,70,21,55,68,65
56,67,35,33,32,42,70
15,50,11,71,79,26,47
45,44,17,19,1,50,37
53,78,77,1,55,68,67
61,43,51,18,80,10,48
44,49,25,59,37,54,24
50,7,78,26,46,64,48
78,53,42,35,61,69,8
69,77,78,33,26,51,50
15,73,8,52,2,22,39
7,18,13,64,78,12,68
26,80,15,46,17,30,58
8,66,18,11,41,34,61
49,27,60,2,43,30,26
68,3,29,66,43,71,51
36,64,20,35,70,41,26
11,80,61,17,64,22,34
25,44,46,64,4,26,59
21,10,61,36,1,59,27
24,26,44,70,17,71,23
79,76,9,70,18,35,48
80,7,14,71,3,62,46
73,7,69,56,74,3,71
66,6,9,39,1,17,26
60,24,68,57,11,56,20
66,69,62,38,57,13,48
78,3,54,16,17,70,14
43,18,35,70,47,48,36
7,73,16,64,78,35,28
52,61,75,46,80,5,62
11,25,1,78,36,50,4
19,20,11,23,6,78,27
65,43,72,53,70,14,26
72,47,69,50,58,80,33
11,7,37,77,26,45,80
75,16,57,29,55,69,74
54,70,36,58,51,53,59
39,22,2,43,5,7,70
32,76,63,22,3,12,64
50,54,6,46,31,65,75
79,64,4,73,62,24,37
58,50,1,24,29,62,17
35,44,72,21,27,80,43
21,8,39,14,17,36,46
50,51,77,13,37,14,3
22,29,79,23,62,76,80
23,21,39,24,10,64,5
54,13,8,18,70,37,43
30,8,80,53,19,33,31
9,32,66,4,29,50,40
72,5,75,38,17,51,2
73,57,66,25,12,46,24
66,21,32,33,19,42,45
2,72,26,5,22,18,13
4,75,11,14,52,65,18
6,61,79,24,48,20,33
27,34,28,18,67,60,12
28,53,32,2,14,9,37
71,10,73,23,45,47,75
23,79,30,14,45,74,76
70,26,22,18,58,49,37
23,73,65,46,66,1,48
36,76,41,56,33,13,74
11,31,56,18,2,13,16
34,66,55,3,65,4,28
57,78,29,22,10,75,70
13,17,9,73,25,50,20
9,63,56,64,30,27,42
3,8,11,52,58,59,67
50,52,53,68,60,40,18
25,56,73,27,48,68,9
4,34,69,45,11,22,40
79,72,23,59,16,41,65
38,66,56,67,33,52,80
5,44,26,57,1,9,22
21,62,25,60,51,73,71
26,42,12,52,62,27,37
30,19,3,27,43,73,10
3,16,61,39,41,30,47
22,80,25,49,65,79,19
37,51,61,31,4,58,46
17,26,73,58,66,3,7
11,16,80,46,64,49,13
78,50,34,31,16,44,49
79,50,32,17,65,53,57
68,48,77,47,64,76,23
34,28,71,32,58,46,41
12,55,76,75,38,37,50
5,41,21,80,47,75,26
21,32,46,73,40,48,34
56,27,65,16,73,25,71
50,43,51,25,67,73,26
55,44,79,42,17,63,37
10,2,61,47,75,34,18
20,14,11,57,54,50,74
55,4,62,79,9,46,78
40,58,46,64,17,69,55
64,21,75,62,45,53,51
45,24,22,66,26,17,74
47,48,13,77,69,33,52
32,39,29,40,6,55,10
53,54,33,7,46,12,48
51,41,39,33,48,34,67
39,43,77,69,16,4,2
22,29,19,43,71,76,67
10,23,36,43,12,19,21
7,72,35,60,20,61,49
34,41,75,60,70,17,1
17,1,78,79,47,75,8
38,62,52,4,6,80,20
32,25,46,70,77,9,8
30,3,43,52,15,10,80
39,58,59,5,52,77,23
78,44,26,8,59,31,23
76,59,61,15,49,77,55
80,72,45,4,21,79,7
37,47,74,7,11,44,66
14,80,26,17,34,38,49
10,16,22,3,40,25,24
76,20,62,72,74,55,36
19,39,25,16,67,37,3
41,18,10,21,12,26,3
73,50,55,30,28,18,38
59,76,28,30,21,49,54
3,60,41,53,70,66,39
3,41,23,36,9,51,33
77,67,26,80,12,48,71
39,28,50,13,72,3,73
47,50,10,1,14,48,25
64,2,67,57,7,42,63
13,15,8,19,26,72,7
79,52,27,49,19,56,4
18,39,21,17,7,40,8
45,15,24,79,34,63,7
73,40,22,31,41,64,23
48,17,11,51,71,20,15
73,41,47,32,31,57,66
44,33,17,64,53,6,21
28,19,43,35,40,75,74
6,31,57,32,9,72,48
69,74,28,42,68,21,2
79,34,32,67,36,29,47
31,61,78,15,68,40,45
34,63,10,8,31,17,32
29,4,45,18,27,2,63
36,43,6,71,39,77,44
50,56,72,52,75,64,36
34,47,18,12,72,57,21
3,17,13,27,59,37,54
48,2,32,63,9,67,65
10,13,22,54,73,48,5
77,38,34,60,46,21,29
3,56,37,59,50,17,73
48,76,15,71,3,34,53
28,48,34,61,7,55,25
42,6,53,60,7,49,31
29,54,14,49,23,41,18
79,4,1,59,71,62,32
67,1,62,22,28,64,78
22,58,2,44,74,64,34
80,29,28,75,35,6,55
34,17,37,59,22,42,30
11,3,67,78,23,12,36
3,27,17,75,25,15,72
56,21,19,65,28,2,27
11,9,8,24,1,21,12
21,61,32,49,60,5,55
31,21,68,59,26,16,38
58,41,45,33,25,29,77
26,50,14,80,42,72,5
32,53,10,68,77,63,35
79,19,61,65,46,13,75
61,53,64,65,2,29,46
73,34,16,61,23,51,63
11,74,21,44,72,34,32
45,5,77,14,54,68,21
