Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7
27,62,3,75,44,63,34
34,76,39,59,13,25,55
26,47,10,51,24,11,36
69,25,4,19,54,35,63
41,55,18,17,62,50,30
63,28,21,64,60,65,75
16,41,68,78,11,56,32
8,22,35,62,30,23,2
72,36,48,43,66,60,11
21,39,6,69,29,35,62
10,40,11,78,29,47,34
30,25,70,28,26,76,63
37,43,58,74,15,8,5
23,41,19,54,51,29,63
55,25,30,18,16,10,4
41,6,46,73,54,48,23
47,15,77,49,40,52,1
73,10,53,50,76,32,70
39,69,79,25,41,77,34
51,2,35,75,63,13,55
39,61,13,11,66,62,34
80,43,23,72,16,51,14
31,61,9,27,16,72,22
78,37,22,20,60,49,14
59,80,39,75,65,1,16
35,16,1,65,33,13,43
67,73,48,39,41,17,35
66,19,45,50,31,71,28
75,14,26,10,3,31,51
13,73,67,57,31,44,46
47,41,80,61,48,13,58
29,60,55,56,19,25,74
54,75,13,47,30,15,73
62,2,36,42,29,3,14
32,74,1,21,4,24,49
50,2,24,58,80,61,72
13,3,16,61,25,71,38
58,7,26,6,79,67,78
15,78,56,37,36,34,44
41,13,66,46,52,19,35
61,32,71,16,5,15,59
39,52,18,1,70,27,7
73,59,79,68,56,65,40
15,51,40,50,41,54,5
67,77,47,74,56,50,26
14,40,6,4,78,10,18
66,58,60,52,70,48,11
36,9,60,26,78,34,5
75,24,18,8,57,58,41
31,52,57,33,59,71,60
47,7,22,60,3,67,23
8,16,7,54,72,60,18
75,6,49,74,34,18,65
11,72,35,61,7,9,74
5,80,23,40,48,22,46
40,79,26,7,72,17,23
66,40,11,69,36,28,18
7,37,9,50,47,63,73
71,25,8,11,67,47,26
61,38,6,39,27,40,30
1,22,18,26,55,50,36
33,32,52,56,3,54,75
58,21,47,37,45,4,64
57,38,58,52,28,21,19
57,21,39,47,22,64,10
6,23,59,71,58,57,11
46,34,33,69,21,51,18
39,13,54,40,23,16,42
16,26,48,10,31,13,11
35,60,13,80,15,10,5
42,31,20,17,34,15,37
12,19,11,21,75,26,7
72,4,3,68,71,12,30
71,28,21,69,48,59,6
27,57,65,41,71,26,13
74,32,6,3,17,5,35
80,50,24,55,10,48,52
2,59,27,68,80,42,58
